PROC_REA,NOME_PROC
303040050,TRATAMENTO CLINICO DE COREIA AGUDA
303040068,TRATAMENTO CONSERVADOR DA DOR REBELDE DE ORIGEM CENTRAL OU NEOPLASICA
303040076,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL
303040084,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU LEVE)
303040092,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO (GRAU MEDIO)
303040106,TRATAMENTO CONSERVADOR DE TRAUMATISMO CRANIOENCEFALICO GRAVE
303040114,TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR
303040122,TRATAMENTO CONSERVADOR DE TUMOR DO SISTEMA NERVOSO CENTRAL
303040130,TRATAMENTO CLINICO DAS MIELITES / MIELOPATIAS
303040149,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO)
303040157,TRATAMENTO DE COMPLICACOES DA HIDROCEFALIA
303040165,TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS
303040173,TRATAMENTO DE DISTROFIAS MUSCULARES
303040181,TRATAMENTO DE DOENCA DE PARKINSON
303040190,TRATAMENTO DE DOENCA DOS NEURONIOS MOTORES CENTRAIS C/ OU S/ AMIOTROFIAS
303040203,TRATAMENTO DE DOENCAS NEURODEGENERATIVAS
303040211,TRATAMENTO DE ENCEFALOPATIA HIPERTENSIVA
303040220,TRATAMENTO DE ESCLEROSE GENERALIZADA PROGRESSIVA
303040238,TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESAO DA MEDULA ESPINHAL
303040246,TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES
303040254,TRATAMENTO DE MIASTENIA GRAVE
303040262,TRATAMENTO DE POLINEUROPATIAS
303040270,TRATAMENTO DE POLIRRADICULONEURITE DESMIELINIZANTE AGUDA
303040289,TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA
303040297,TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL
303040300,TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUEMICO AGUDO COM USO DE TROMBOLITICO
303050136,TRATAMENTO CLINICO DE INTERCORRENCIAS OFTALMOLOGICAS
303050144,TRATAMENTO CLINICO DE INTERCORRENCIAS OFTALMOLOGICAS DE ORIGEM INFECCIOSA
303060018,TRATAMENTO DE ANEURISMA DA AORTA
303060026,TRATAMENTO DE ARRITMIAS
303060034,TRATAMENTO DE CARDIOPATIA HIPERTROFICA
303060042,TRATAMENTO DE CARDIOPATIA ISQUEMICA CRONICA
303060050,TRATAMENTO DE CHOQUE ANAFILATICO
303060069,TRATAMENTO DE CHOQUE CARDIOGENICO
303060077,TRATAMENTO DE CHOQUE HIPOVOLEMICO
303060085,TRATAMENTO DE COMPLICACOES CARDIACAS POS-CIRURGIA
303060093,TRATAMENTO DE COMPLICACOES DE DISPOSITIVOS PROTETICOS IMPLANTES E ENXERTOS CARDIACOS E VALVULARES
303060107,TRATAMENTO DE CRISE HIPERTENSIVA
303060115,TRATAMENTO DE DOENCA REUMATICA C/ COMPROMETIMENTO CARDIACO
303060123,TRATAMENTO DE DOENCA REUMATICA S/ CARDITE
303060131,TRATAMENTO DE EDEMA AGUDO DE PULMAO
303060140,TRATAMENTO DE EMBOLIA PULMONAR
303060158,TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR
303060166,TRATAMENTO DE ENDOCARDITE INFECCIOSA EM VALVULA NATIVA
303060174,TRATAMENTO DE HIPERTENSAO PULMONAR
303060182,TRATAMENTO DE HIPERTENSAO SECUNDARIA
303060190,TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO
303060204,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA
303060212,TRATAMENTO DE INSUFICIENCIA CARDIACA
303060220,TRATAMENTO DE LINFADENITES INESPECIFICAS
303060239,TRATAMENTO DE MIOCARDIOPATIAS
303060247,TRATAMENTO DE OUTRAS VASCULOPATIAS
303060255,TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO
303060263,TRATAMENTO DE PE DIABETICO COMPLICADO
303060271,TRATAMENTO DE PERICARDITE
303060280,TRATAMENTO DE SINDROME CORONARIANA AGUDA
303060298,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA
303060301,TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA
303070064,TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO
303070072,TRATAMENTO DE DOENCAS DO FIGADO
303070080,TRATAMENTO DE DOENCAS DO PERITONIO
303070099,TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS
303070102,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO
303070110,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO
303070129,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS
303070137,TRATAMENTO DE INTERCORRENCIA CLINICA POS-CIRURGIA BARIATRICA
303080043,TRATAMENTO DE AFECCOES BOLHOSAS
303080051,TRATAMENTO DE DERMATITES E ECZEMAS
303080060,TRATAMENTO DE ESTAFILOCOCCIAS
303080078,TRATAMENTO DE ESTREPTOCOCCIAS
303080086,TRATAMENTO DE FARMACODERMIAS
303080094,TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO
303090138,TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE
303090197,TRATAMENTO CONSERVADOR DE FRATURA DOS ANEIS PELVICOS
303090235,TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE
303090316,TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS
303100010,TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO
303100028,TRATAMENTO DE ECLAMPSIA
303100036,"TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO"
303100044,TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ
303110015,TRATAMENTO DAS MALFORMACOES E DEFORMIDADES CONGENITAS DO SISTEMA OSTEOMUSCULAR
303110023,TRATAMENTO DE ANOMALIAS CROMOSSOMICAS NAO CLASSIFICADAS EM OUTRA PARTE
303110040,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO
303110058,TRATAMENTO DE FENDA LABIAL E/OU FENDA PALATINA
303110066,TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO URINARIO
303110074,TRATAMENTO DE MALFORMACOES CONGENITAS DOS ORGAOS GENITAIS
303110090,TRATAMENTO DE OUTRAS ANOMALIAS CONGENITAS DO SISTEMA NERVOSO
303110104,TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS
303110112,TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS DO APARELHO DIGESTIVO
303130016,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS
303130024,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES
303130032,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS
303130040,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES DECORRENTES DA AIDS
303130059,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS
303130067,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS
303130075,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT
303140020,TRATAMENTO DA FIBROSE CISTICA COM MANIFESTACOES PULMONARES
303140038,TRATAMENTO DAS AFECCOES NECROTICAS E SUPURATIVAS DAS VIAS AEREAS INFERIORES
303140046,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES
303140054,TRATAMENTO DAS DOENCAS PULMONARES DEVIDO A AGENTES EXTERNOS
303140062,TRATAMENTO DE CARDIOPATIA PULMONAR NAO ESPECIFICADA (COR PULMONALE)
303140070,TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE
303140089,TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO
303140097,TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS
303140100,TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES
303140119,TRATAMENTO DE OUTRAS DOENCAS DA PLEURA
303140127,TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES
303140135,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO
303140143,TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES
303140151,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)
303150017,TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS
303150025,TRATAMENTO DE DOENCAS GLOMERULARES
303150033,TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS
303150041,TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS
303150050,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO
303150068,TRATAMENTO DE OUTROS TRANSTORNOS DO RIM E DO URETER
303160020,TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL
303160039,TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL
303160047,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO
303160055,TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL
303160063,TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL
303160071,TRATAMENTO DE TRAUMATISMO DE PARTO NO NEONATO
303170093,TRATAMENTO EM PSIQUIATRIA (POR DIA)
303170107,TRATAMENTO EM PSIQUIATRIA EM HOSPITAL DIA
303170131,TRATAMENTO CLINICO EM SAUDE MENTAL EM SITUACAO DE RISCO ELEVADO DE SUICIDIO.
303170140,TRATAMENTO CLINICO PARA CONTENCAO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO
303170158,"TRATAMENTO CLINICO PARA AVALIACAO DIAGNOSTICA E ADEQUACAO TERAPEUTICA, INCLUINDO NECESSIDADES"
303170166,TRATAMENTO CLINICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE ALCOOL
303170174,TRATAMENTO CLINICO DE TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DE ?CRACK?.
303170182,TRATAMENTO CLINICO DOS TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DAS DEMAIS DROGAS E/OU OU
303170190,TRATAMENTO EM PSIQUIATRIA DE CURTA PERMANENCIA POR DIA (PERMANENCIA ATE 90 DIAS)
303170204,TRATAMENTO EM PSIQUIATRIA POR DIA (COM DURACAO SUPERIOR A 90 DIAS DE INTERNACAO OU REINTERNACAO
303180013,TRATAMENTO DE AFECCOES ASSOCIADAS AO HIV/AIDS
303180030,TRATAMENTO DE AFECCOES DO APARELHO DIGESTIVO EM HIV/AIDS
303180048,TRATAMENTO DE AFECCOES DO SISTEMA NERVOSO EM HIV/AIDS
303180056,TRATAMENTO DE AFECCOES DO SISTEMA RESPIRATORIO EM HIV/AIDS
303180064,TRATAMENTO DE DOENCAS DISSEMINADAS EM AIDS
303180072,TRATAMENTO DE HIV / AIDS
303190019,TRATAMENTO EM REABILITACAO
304080020,INTERNACAO P/ QUIMIOTERAPIA DE ADMINISTRACAO CONTINUA
304080039,INTERNACAO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRONICAS AGUDIZADAS
304080047,QUIMIOTERAPIA INTRA-ARTERIAL
304090026,IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREOIDE (100 MCI)
304100013,TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO
304100021,TRATAMENTO CLINICO DE PACIENTE ONCOLOGICO
305010174,TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)
305020013,TRATAMENTO DA PIELONEFRITE
305020021,TRATAMENTO DE CALCULOSE RENAL
305020048,TRATAMENTO DE INSUFICIENCIA RENAL AGUDA
305020056,TRATAMENTO DA DOENCA RENAL CRONICA - DRC
308010019,TRATAMENTO CLINICO/CONSERVADOR DE TRAUMATISMOS DE QUALQUER LOCALIZACAO
308010027,TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO
308010035,TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL
308010043,TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO
308020022,TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS
308020030,TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDI
308030010,TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL
308030028,TRATAMENTO DE EFEITOS DE OUTRAS CAUSAS EXTERNAS
308030036,TRATAMENTO DE QUEIMADURAS CORROSOES E GELADURAS
308040015,TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS
310010039,PARTO NORMAL
310010047,PARTO NORMAL EM GESTACAO DE ALTO RISCO
401020010,ENXERTO COMPOSTO
401020029,ENXERTO DERMO-EPIDERMICO
401020037,ENXERTO LIVRE DE PELE TOTAL
401020045,"EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )"
401020053,EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO
401020061,EXERESE DE CISTO BRANQUIAL
401020070,EXERESE DE CISTO DERMOIDE
401020088,EXERESE DE CISTO SACRO-COCCIGEO
401020096,EXERESE DE CISTO TIREOGLOSSO
401020100,EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO
401020126,TRATAMENTO CIRURGICO DE ESCALPO PARCIAL
401020134,TRATAMENTO CIRURGICO DE ESCALPO TOTAL
401020150,TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR
401020169,TRATAMENTO EM ESTAGIOS SUBSEQUENTES DE ENXERTIA
402010027,PARATIREOIDECTOMIA
402010035,TIREOIDECTOMIA PARCIAL
402010043,TIREOIDECTOMIA TOTAL
402010051,TIREOIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR
402020022,SUPRARRENALECTOMIA UNILATERAL
403010012,CRANIOPLASTIA
403010020,CRANIOTOMIA DESCOMPRESSIVA
403010039,CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR
403010047,CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO
403010098,DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
403010101,DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010128,MICROCIRURGIA CEREBRAL ENDOSCOPICA
403010144,RECONSTRUCAO CRANIANA / CRANIO-FACIAL
403010160,RETIRADA DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010179,RETIRADA DE PLACA DE CRANIOPLASTIA
403010187,REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE
403010195,TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO
403010217,TRATAMENTO CIRURGICO DE CRANIOSSINOSTOSE COMPLEXA
403010225,TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO
403010233,TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO
403010241,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA CRANIANA
403010250,TRATAMENTO CIRURGICO DE FISTULA LIQUORICA RAQUIDIANA
403010268,TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO
403010276,TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL
403010284,TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL
403010306,TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO
403010314,TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO
403010322,TRATAMENTO CIRURGICO DE OSTEOMIELITE DO CRANIO
403010349,TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC
403010390,DRENAGEM LIQUORICA LOMBAR EXTERNA
403020026,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (UNICO NERVO)
403020034,MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORACAO E NEUROLISE
403020042,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA
403020050,MICRONEUROLISE DE NERVO PERIFERICO
403020069,MICRONEURORRAFIA
403020077,NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS
403020085,NEURORRAFIA
403020093,NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS
403020107,TRANSPOSICAO DO NERVO CUBITAL
403020115,TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA
403020123,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO
403020131,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA
403030021,CRANIOTOMIA PARA BIOPSIA ENCEFALICA (COM TECNICA COMPLEMENTAR)
403030030,CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR
403030048,CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO
403030056,CRANIECTOMIA POR TUMOR OSSEO
403030064,HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
403030080,MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR
403030099,MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR
403030102,MICROCIRURGIA DE TUMOR MEDULAR
403030129,MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO
403030145,MICROCIRURGIA PARA TUMOR INTRACRANIANO
403030153,MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)
403030161,RESSECCAO DE TUMOR RAQUIMEDULAR EXTRADURAL
403040060,MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL PROFUNDA
403040078,MICROCIRURGIA VASCULAR INTRACRANIANA (COM TECNICA COMPLEMENTAR)
403040094,"MICROCIRURGIA PARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM"
403040116,"MICROCIRURGIA P/ARA ANEURISMA DA CIRCULACAO CEREBRAL ANTERIOR MENOR QUE 1,5 CM"
403050030,BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO
403050103,RIZOTOMIA / NEUROTOMIA PERCUTANEA POR RADIOFREQUENCIA
403050111,SIMPATECTOMIA LOMBAR A CEU ABERTO
403050146,SIMPATECTOMIA TORACICA VIDEOCIRURGICA
403050154,TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS
403060036,MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO
403060052,MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA
403060060,MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA
403070015,ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO
403070058,"EMBOLIZACAO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO"
403070104,EMBOLIZACAO DE MALFORMACAO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL
403070112,EMBOLIZACAO DE MALFORMACAO ARTERIO-VENOSA DURAL SIMPLES DO SISTEMA NERVOSO CENTRAL
403070120,EMBOLIZACAO DE MALFORMACAO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL
403070155,"EMBOLIZACAO DE ANEURISMA CEREBRAL MENOR QUE 1,5 CM COM COLO ESTREITO"
403070163,"EMBOLIZACAO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO"
403070171,TRATAMENTO DO ACIDENTE VASCULAR CEREBRAL ISQUEMICO AGUDO COM TROMBECTOMIA MECANICA
403080010,IMPLANTE DE ELETRODO PARA ESTIMULACAO CEREBRAL
403080029,IMPLANTE DE GERADOR DE PULSOS P/ARA ESTIMULACAO CEREBRAL (INCLUI CONECTOR)
403080100,TROCA DE GERADOR DE PULSOS PARA ESTIMULACAO CEREBRAL
404010016,ADENOIDECTOMIA
404010024,AMIGDALECTOMIA
404010032,AMIGDALECTOMIA COM ADENOIDECTOMIA
404010059,DRENAGEM DE ABSCESSO FARINGEO
404010067,DRENAGEM DE ABSCESSO PERIAMIGDALIANO
404010105,ESTAPEDECTOMIA
404010113,EXERESE DE PAPILOMA EM LARINGE
404010121,"EXERESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOCO"
404010130,EXTIRPACAO DE TUMOR DO CAVUM E FARINGE
404010172,LARINGECTOMIA PARCIAL
404010210,MASTOIDECTOMIA RADICAL
404010229,MASTOIDECTOMIA SUBTOTAL
404010237,MICROCIRURGIA OTOLOGICA
404010318,RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ
404010326,SINUSOTOMIA BILATERAL
404010334,SINUSOTOMIA ESFENOIDAL
404010350,TIMPANOPLASTIA (UNI / BILATERAL)
404010377,TRAQUEOSTOMIA
404010407,TRATAMENTO CIRURGICO DE RINITE CRONICA (OZENA)
404010415,TURBINECTOMIA
404010431,ARITENOIDECTOMIA COM LARINGOFISSURA
404010458,LARINGOFISSURA PARA COLOCACAO DE MOLDE NOS TRAUMATISMOS DE LARINGE
404010466,PAROTIDECTOMIA PARCIAL OU SUBTOTAL
404010482,SEPTOPLASTIA PARA CORRECAO DE DESVIO
404010504,TRATAMENTO CIRURGICO DE PERFURACAO DO SEPTO NASAL
404010512,SINUSOTOMIA TRANSMAXILAR
404010520,SEPTOPLASTIA REPARADORA NAO ESTETICA
404010571,CIRURGIA DE IMPLANTE COCLEAR UNILATERAL
404010580,CIRURGIA DE IMPLANTE COCLEAR BILATERAL
404010628,CIRURGIA PARA PROTESE AUDITIVA ANCORADA NO OSSO UNILATERAL ? TEMPO UNICO
404020070,RESSECCAO DE GLANDULA SALIVAR
